YEAR,WEEK IN YEAR,PRICE
2012,01,0.89
2012,02,0.96
2012,03,0.98
2012,04,0.96
2012,05,1.00
2012,06,0.80
2012,07,0.93
2012,08,1.03
2012,09,1.03
2012,10,0.98
2012,11,0.97
2012,12,0.98
2012,13,1.01
2012,14,1.01
2012,15,1.04
2012,16,0.99
2012,17,1.02
2012,18,1.12
2012,19,1.00
2012,20,1.07
2012,21,1.10
2012,22,1.07
2012,23,1.12
2012,24,1.11
2012,25,1.12
2012,26,1.09
2012,27,1.06
2012,28,1.07
2012,29,1.06
2012,30,1.06
2012,31,1.02
2012,32,1.04
2012,33,1.10
2012,34,1.08
2012,35,1.05
2012,36,1.05
2012,37,1.06
2012,38,1.05
2012,39,1.01
2012,40,1.01
2012,41,1.00
2012,42,1.04
2012,43,1.00
2012,44,0.96
2012,45,1.00
2012,46,0.98
2012,47,1.02
2012,48,1.09
2012,49,0.95
2012,50,0.94
2012,51,1.00
2012,52,1.01
2012,53,0.89
